FRED Graph Observations
Federal Reserve Economic
Data
Link:
https://fred.stlouisfed.org
Help:
https://fredhelp.stlouisfed.org
Economic Research Division
Federal Reserve Bank of St.
Louis

                                  Industrial
                                  Production:
                                  Durable Goods
                                  Materials:
                                  Semiconductors,
                                  Printed Circuit
                                  Boards, and
                                  Other, Index
                                  2017=100,
                                  Monthly, Not
                                  Seasonally
IPB53122N                         Adjusted

Frequency: Monthly
observation_date           IPB53122N
                 2009-01-01       19.5474
                 2009-02-01       21.1097
                 2009-03-01       26.3598
                 2009-04-01       22.3659
                 2009-05-01       23.7120
                 2009-06-01       28.5540
                 2009-07-01       26.0627
                 2009-08-01       27.7197
                 2009-09-01       35.1330
                 2009-10-01       30.3010
                 2009-11-01       31.1477
                 2009-12-01       34.7340
                 2010-01-01       31.4750
                 2010-02-01       31.6933
                 2010-03-01       41.4510
                 2010-04-01       36.0507
                 2010-05-01       37.4128
                 2010-06-01       43.9694
                 2010-07-01       39.2642
                 2010-08-01       41.3738
                 2010-09-01       50.3693
                 2010-10-01       42.8820
                 2010-11-01       43.7107
                 2010-12-01       51.8945
                 2011-01-01       46.6407
                 2011-02-01       43.2519
                 2011-03-01       53.9260
                 2011-04-01       45.3195
                 2011-05-01       45.6454
                 2011-06-01       54.1945
                 2011-07-01       47.2152
                 2011-08-01       49.7024
                 2011-09-01       59.7010
                 2011-10-01       49.3792
                 2011-11-01       48.4749
                 2011-12-01       56.5584
                 2012-01-01       47.7190
                 2012-02-01       49.6179
                 2012-03-01       59.7458
                 2012-04-01       52.0254
                 2012-05-01       52.5995
                 2012-06-01       62.6048
                 2012-07-01       54.6931
                 2012-08-01       55.0130
                 2012-09-01       65.8692
                 2012-10-01       57.4439
                 2012-11-01       55.8223
                 2012-12-01       63.2118
                 2013-01-01       55.7168
                 2013-02-01       51.9069
                 2013-03-01       63.1691
                 2013-04-01       56.9193
                 2013-05-01       57.8106
                 2013-06-01       66.3013
                 2013-07-01       61.4811
                 2013-08-01       63.5312
                 2013-09-01       72.7911
2013-10-01    66.4109
2013-11-01    66.9018
2013-12-01    74.5498
2014-01-01    67.6656
2014-02-01    67.9790
2014-03-01    80.8062
2014-04-01    74.3802
2014-05-01    76.9433
2014-06-01    86.3089
2014-07-01    79.8813
2014-08-01    80.7068
2014-09-01    90.4489
2014-10-01    81.2108
2014-11-01    79.5708
2014-12-01    85.0540
2015-01-01    77.0749
2015-02-01    73.3525
2015-03-01    82.6211
2015-04-01    74.8429
2015-05-01    74.9948
2015-06-01    81.8322
2015-07-01    75.8755
2015-08-01    77.1361
2015-09-01    85.1505
2015-10-01    78.9669
2015-11-01    78.7042
2015-12-01    84.9174
2016-01-01    77.6118
2016-02-01    74.9610
2016-03-01    84.8687
2016-04-01    79.1239
2016-05-01    80.9206
2016-06-01    89.4125
2016-07-01    86.8369
2016-08-01    89.5674
2016-09-01    99.5624
2016-10-01    94.2377
2016-11-01    94.1311
2016-12-01    99.9900
2017-01-01    89.2416
2017-02-01    91.6292
2017-03-01   101.4255
2017-04-01    94.4880
2017-05-01    96.3070
2017-06-01   104.4135
2017-07-01    98.5706
2017-08-01   100.9202
2017-09-01   108.8374
2017-10-01   102.2898
2017-11-01   103.1061
2017-12-01   108.7712
2018-01-01    98.7883
2018-02-01    94.8774
2018-03-01   107.5820
2018-04-01   100.1327
2018-05-01   101.0217
2018-06-01   110.3560
2018-07-01   104.9716
2018-08-01   108.7502
2018-09-01   115.3097
2018-10-01   106.3778
2018-11-01   104.9297
2018-12-01   108.6830
2019-01-01    99.0498
2019-02-01    96.2768
2019-03-01   108.6429
2019-04-01   101.0036
2019-05-01   101.9688
2019-06-01   109.6600
2019-07-01   105.6458
2019-08-01   110.8233
2019-09-01   117.2466
2019-10-01   111.1322
2019-11-01   113.3482
2019-12-01   120.7770
2020-01-01   105.0301
2020-02-01   106.0326
2020-03-01   113.4829
2020-04-01   100.8206
2020-05-01   101.5453
2020-06-01   111.0880
2020-07-01   109.0132
2020-08-01   112.4132
2020-09-01   120.5563
2020-10-01   119.1280
2020-11-01   119.4207
2020-12-01   123.7007
2021-01-01   116.2681
2021-02-01   111.4575
2021-03-01   125.7093
2021-04-01   119.1457
2021-05-01   122.5057
2021-06-01   126.4100
2021-07-01   118.2749
2021-08-01   120.6055
2021-09-01   126.0685
2021-10-01   122.6771
2021-11-01   122.6532
2021-12-01   125.4665
2022-01-01   116.5728
2022-02-01   115.0137
2022-03-01   126.2354
2022-04-01   111.0633
2022-05-01   111.3921
2022-06-01   118.6623
2022-07-01   113.8981
2022-08-01   114.6704
2022-09-01   121.1957
2022-10-01   116.8758
2022-11-01   114.0631
2022-12-01   115.5198
2023-01-01   103.2043
2023-02-01   107.8814
2023-03-01   116.8808
2023-04-01   111.8872
2023-05-01   113.8993
2023-06-01   123.1619
2023-07-01   120.3287
2023-08-01   122.6163
2023-09-01   131.4812
2023-10-01   130.0228
2023-11-01   128.9917
2023-12-01   133.9378
2024-01-01   123.9944
2024-02-01   117.8449
2024-03-01   130.8540

